Written_In_The_Sand,461,Country,2017-12-09,177,1,OLD_DOMINION,Happy Endings,59,59
Stir_Fry,384,R&B/Hip-hop,2018-01-06,163,1,MIGOS,Culture II,60,60
Losing_Sleep,247,Country,2017-10-14,50,1,CHRIS_YOUNG,Losing Sleep,61,61
Rubbin_Off_The_Paint,354,R&B/Hip-hop,2017-11-25,228,1,YBN_NAHMIR,YBN: The Mixtape,46,62
Codeine_Dreaming,89,R&B/Hip-hop,2017-12-16,123,1,KODAK_BLACK,Project Baby 2: All Grown Up,52,63
Keke,216,R&B/Hip-hop,2018-01-27,5,1,6IX9INE,Day69: Graduation Day,64,64
Greatest_Love_Story,166,Country,2017-09-23,127,1,LANCO,Hallelujah Nights,45,65
Pick_It_Up,325,R&B/Hip-hop,2017-12-02,81,1,FAMOUS_DEX,,66,66
La_Modelo,225,Latin,2018-01-06,178,1,OZUNA_x_CARDI_B,Aura,52,67
You_Broke_Up_With_Me,468,Pop,2017-11-18,223,1,WALKER_HAYES,boom.,67,68
Red_Roses,339,R&B/Hip-hop,2018-01-20,136,1,LIL_SKIES,Life of a Dark Rose,69,69
Rewrite_The_Stars,342,Pop,2018-01-13,233,1,ZAC_EFRON,The Greatest Showman,70,70
Outside_Today,318,R&B/Hip-hop,2018-01-27,232,1,YOUNGBOY_NEVER_BROKE_AGAIN,Until Death Call My Name Reloaded,71,71
Tell_Me_You_Love_Me,402,Pop,2017-12-23,62,1,DEMI_LOVATO,Tell Me You Love Me,53,72
Kooda,223,R&B/Hip-hop,2017-12-23,5,1,6IX9INE,Day69: Graduation Day,50,73
Candy_Paint,81,R&B/Hip-hop,2017-11-11,187,1,POST_MALONE,beerbongs & bentleys,50,74
Betrayed,53,R&B/Hip-hop,2017-12-02,139,1,LIL_XAN,Total Xanarchy,67,75
Heaven,178,Country,2018-01-13,111,1,KANE_BROWN,Kane Brown,70,76
One_Foot,314,Pop,2018-01-13,222,1,WALK_THE_MOON,,77,77
No_Smoke,301,R&B/Hip-hop,2017-12-30,232,1,YOUNGBOY_NEVER_BROKE_AGAIN,Al YoungBoy,73,78
MIC_Drop,266,K-pop,2017-12-16,36,1,BTS,Love Yourself 'Answer',28,79
